month,year,HH_A,HH_B,HH_F,HH_E,HH_D,HH_C,LL_C,LL_B,LL_D,LL_A
lat,na,51.1128,51.089,59.0774,59.3628,55.844,55.6063,57.0803,52.8483,57.5558,51.4218
lon,na,-5.89049,-11.6441,-12.3336,-6.62752,-13.5937,-8.10159,-14.5684,-13.8076,-7.2219,-10.0987
jun,82,0.225327833,0.614324167,-0.235719,-0.791346167,0.600491667,0.503255833,0.029384833,0.248069667,0.616066333,-0.241625333
jul,82,0.159682667,0.694109167,-0.030020167,-0.515271,0.610437833,0.779923167,0.283094333,0.529468333,0.705904333,0.0666545
aug,82,0.162184667,0.654593,0.054799333,-0.364005,0.5866955,0.852978,0.412376167,0.669927333,0.703404333,0.102750833
sep,82,-0.007394167,0.449159333,0.011200833,-0.2500145,0.460675667,0.701203833,0.381377833,0.762509667,0.641356,0.056906667
oct,82,-0.124602167,0.339872667,-0.051105667,-0.141528833,0.369182833,0.5742845,0.218162833,0.6160455,0.4621265,-0.216342167
nov,82,-0.092638,0.181333333,-0.195838667,-0.028734833,0.251043,0.518829167,0.102465667,0.599909333,0.392502833,-0.38062
dec,82,-0.076432,0.039790333,-0.382095,-0.228914,0.1153565,0.173308833,-0.130244,0.3524685,0.244886333,-0.640982
jan,83,-0.027184833,-0.127252667,-0.659998167,-0.387247333,-0.076847833,-0.115670333,-0.439222333,0.209994667,0.084940833,-0.865014333
feb,83,0.025670333,-0.085772167,-0.753746167,-0.53393,-0.141498333,-0.311403833,-0.6644565,0.0453095,-0.026547333,-1.021705167
mar,83,0.146593333,0.049392833,-0.748911167,-0.659372167,-0.117790333,-0.205489833,-0.652006667,-0.169154667,0.022329,-1.146506833
apr,83,0.228134667,0.071901833,-0.7564935,-0.860802333,-0.137130833,-0.222459333,-0.678847167,-0.230912667,0.0506695,-1.1233135
may,83,0.228858667,0.067806833,-0.688857333,-1.051015167,-0.135388833,-0.234100833,-0.6700855,-0.3479485,-0.033255167,-1.188927333
